"Kalimantan Barat","KB","Pontianak","4716093","115114","3929.9"
"Kalimantan Selatan","KS","Banjarmasin","3922790","36805","6010.9"
"Kalimantan Tengah","KT","Palangkaraya","2439858","153564","3510.9"
"Kalimantan Timur","KI","Samarinda","3351432","194849","15731.1"
"Kalimantan Utara","KU","Tanjungselor","618384","71177","2299.6"
